age_n,age,qx,lx,dx,Lx,Tx,ex
0,0_1,0.005831,"100,000",583,"99,485","7,888,676",78.9
1,1_2,0.00037,"99,417",37,"99,399","7,789,191",78.3
2,2_3,0.000248,"99,380",25,"99,368","7,689,793",77.4
3,3_4,0.000184,"99,355",18,"99,346","7,590,425",76.4
4,4_5,0.000158,"99,337",16,"99,329","7,491,079",75.4
5,5_6,0.000142,"99,321",14,"99,314","7,391,749",74.4
6,6_7,0.000126,"99,307",13,"99,301","7,292,435",73.4
7,7_8,0.000113,"99,295",11,"99,289","7,193,134",72.4
8,8_9,0.000101,"99,284",10,"99,279","7,093,845",71.5
9,9_10,0.000092,"99,274",9,"99,269","6,994,566",70.5
10,10_11,0.000089,"99,264",9,"99,260","6,895,297",69.5
11,11_12,0.000096,"99,256",10,"99,251","6,796,037",68.5
12,12_13,0.00012,"99,246",12,"99,240","6,696,786",67.5
13,13_14,0.000166,"99,234",16,"99,226","6,597,546",66.5
14,14_15,0.000229,"99,218",23,"99,206","6,498,320",65.5
15,15_16,0.000296,"99,195",29,"99,180","6,399,114",64.5
16,16_17,0.000366,"99,166",36,"99,148","6,299,934",63.5
17,17_18,0.000446,"99,129",44,"99,107","6,200,786",62.6
18,18_19,0.000534,"99,085",53,"99,059","6,101,679",61.6
19,19_20,0.000623,"99,032",62,"99,001","6,002,620",60.6
20,20_21,0.000713,"98,971",71,"98,935","5,903,619",59.7
21,21_22,0.000795,"98,900",79,"98,861","5,804,683",58.7
22,22_23,0.000858,"98,821",85,"98,779","5,705,822",57.7
23,23_24,0.000898,"98,737",89,"98,692","5,607,043",56.8
24,24_25,0.000922,"98,648",91,"98,603","5,508,351",55.8
25,25_26,0.000943,"98,557",93,"98,511","5,409,748",54.9
26,26_27,0.000967,"98,464",95,"98,416","5,311,238",53.9
27,27_28,0.000994,"98,369",98,"98,320","5,212,821",53
28,28_29,0.001024,"98,271",101,"98,221","5,114,501",52
29,29_30,0.001058,"98,171",104,"98,119","5,016,281",51.1
30,30_31,0.001094,"98,067",107,"98,013","4,918,162",50.2
31,31_32,0.001131,"97,959",111,"97,904","4,820,149",49.2
32,32_33,0.00117,"97,849",115,"97,791","4,722,245",48.3
33,33_34,0.001212,"97,734",118,"97,675","4,624,454",47.3
34,34_35,0.001259,"97,616",123,"97,554","4,526,779",46.4
35,35_36,0.001318,"97,493",128,"97,428","4,429,225",45.4
36,36_37,0.001388,"97,364",135,"97,297","4,331,796",44.5
37,37_38,0.001466,"97,229",143,"97,158","4,234,500",43.6
38,38_39,0.001549,"97,087",150,"97,011","4,137,342",42.6
39,39_40,0.001638,"96,936",159,"96,857","4,040,330",41.7
40,40_41,0.001741,"96,777",168,"96,693","3,943,474",40.7
41,41_42,0.001862,"96,609",180,"96,519","3,846,780",39.8
42,42_43,0.001999,"96,429",193,"96,333","3,750,261",38.9
43,43_44,0.002157,"96,236",208,"96,132","3,653,929",38
44,44_45,0.002342,"96,029",225,"95,916","3,557,796",37
45,45_46,0.002544,"95,804",244,"95,682","3,461,880",36.1
46,46_47,0.002774,"95,560",265,"95,428","3,366,198",35.2
47,47_48,0.003054,"95,295",291,"95,149","3,270,771",34.3
48,48_49,0.003385,"95,004",322,"94,843","3,175,621",33.4
49,49_50,0.003746,"94,682",355,"94,505","3,080,778",32.5
50,50_51,0.004109,"94,328",388,"94,134","2,986,273",31.7
51,51_52,0.004474,"93,940",420,"93,730","2,892,139",30.8
52,52_53,0.004862,"93,520",455,"93,292","2,798,410",29.9
53,53_54,0.005288,"93,065",492,"92,819","2,705,117",29.1
54,54_55,0.005754,"92,573",533,"92,307","2,612,298",28.2
55,55_56,0.006254,"92,040",576,"91,752","2,519,991",27.4
56,56_57,0.00677,"91,465",619,"91,155","2,428,239",26.5
57,57_58,0.007294,"90,845",663,"90,514","2,337,084",25.7
58,58_59,0.007823,"90,183",706,"89,830","2,246,570",24.9
59,59_60,0.008368,"89,477",749,"89,103","2,156,740",24.1
60,60_61,0.008959,"88,729",795,"88,331","2,067,637",23.3
61,61_62,0.009606,"87,934",845,"87,511","1,979,306",22.5
62,62_63,0.010288,"87,089",896,"86,641","1,891,794",21.7
63,63_64,0.010995,"86,193",948,"85,719","1,805,153",20.9
64,64_65,0.011735,"85,245","1,000","84,745","1,719,434",20.2
65,65_66,0.012519,"84,245","1,055","83,718","1,634,689",19.4
66,66_67,0.013394,"83,190","1,114","82,633","1,550,971",18.6
67,67_68,0.014397,"82,076","1,182","81,485","1,468,338",17.9
68,68_69,0.015579,"80,894","1,260","80,264","1,386,853",17.1
69,69_70,0.017001,"79,634","1,354","78,957","1,306,588",16.4
70,70_71,0.018679,"78,280","1,462","77,549","1,227,631",15.7
71,71_72,0.020549,"76,818","1,579","76,029","1,150,082",15
72,72_73,0.022559,"75,240","1,697","74,391","1,074,053",14.3
73,73_74,0.024702,"73,542","1,817","72,634","999,662",13.6
74,74_75,0.026984,"71,726","1,935","70,758","927,028",12.9
75,75_76,0.029457,"69,790","2,056","68,762","856,269",12.3
76,76_77,0.032338,"67,735","2,190","66,639","787,507",11.6
77,77_78,0.035668,"65,544","2,338","64,375","720,868",11
78,78_79,0.039459,"63,206","2,494","61,959","656,492",10.4
79,79_80,0.043922,"60,712","2,667","59,379","594,533",9.8
80,80_81,0.048756,"58,046","2,830","56,631","535,154",9.2
81,81_82,0.053978,"55,216","2,980","53,725","478,523",8.7
82,82_83,0.059674,"52,235","3,117","50,677","424,798",8.1
83,83_84,0.066395,"49,118","3,261","47,487","374,121",7.6
84,84_85,0.073868,"45,857","3,387","44,163","326,634",7.1
85,85_86,0.081966,"42,470","3,481","40,729","282,471",6.7
86,86_87,0.091544,"38,988","3,569","37,204","241,742",6.2
87,87_88,0.102047,"35,419","3,614","33,612","204,538",5.8
88,88_89,0.113516,"31,805","3,610","30,000","170,926",5.4
89,89_90,0.125987,"28,195","3,552","26,418","140,926",5
90,90_91,0.139482,"24,642","3,437","22,924","114,508",4.6
91,91_92,0.154012,"21,205","3,266","19,572","91,584",4.3
92,92_93,0.169568,"17,939","3,042","16,418","72,011",4
93,93_94,0.186124,"14,897","2,773","13,511","55,593",3.7
94,94_95,0.203635,"12,125","2,469","10,890","42,082",3.5
95,95_96,0.222033,"9,656","2,144","8,584","31,192",3.2
96,96_97,0.241226,"7,512","1,812","6,606","22,608",3
97,97_98,0.261105,"5,700","1,488","4,956","16,002",2.8
98,98_99,0.281537,"4,212","1,186","3,619","11,047",2.6
99,99_100,0.302376,"3,026",915,"2,568","7,428",2.5
100,100+,1,"2,111","2,111","4,860","4,860",2.3
